category,count
"\""GRAHAMS\""",4
"\""GREAT"" MOVIES",5
"\""HARD\""",5
"\""HO"" & ""HUM\""",4
"\""ICE"" & ""SNOW\""",4
"\""IN"" CROWD",5
"\""IN""s & ""OUT""s",5
"\""JACKS"" OF ALL TRADES",5
"\""LAST"" MOVIES",5
"\""LAST\""",5
"\""LEE""S",5
"\""LITTLE\""",5
"\""LORDS"" & ""LADIES\""",5
"\""MARCH"" ON",3
"\""MC"" NAMES",5
"\""MONKEY"" SHINES",4
"\""MOORE"" OR ""LES\""",5
"\""NICK"" NAMES",6
"\""NOSE""s",5
"\""OLD\""",5
"\""ON"" WORDS & ""UP"" WORDS",3
"\""PRO"" & ""CON\""",5
"\""RIGHT\""",3
"\""SHELLS\""",4
"\""SIMON""S",5
"\""STARTS\""",1
"\""STATE"" NAMES",5
"\""STEVENS\""",4
"\""STOPS\""",5
"\""T"" TIME",10
"\""TIME""S",5
"\""TIN"" TYPES",4
"\""TOASTS\""",5
"\""UPS"" & ""DOWNS\""",5
"\""V"" CITIES",5
"\""WORLDLY GOODS\""",5
"\""WRONG\""",4
"\""YOUNG\""",4
\'30s MOVIES,5
\'40s TRIVIA,4
\'50'S TV,5
\'50s TV,5
\'60s SONGS,10
\'60s TRIVIA,5
